GRILL CD 001		
11	Pere Ubu	West Side Story
12	Billy Bragg	Shirley
13	Cathal Coughlan	Black River Falls
14	Jackie Leven	Single Father
15	Savourna Stevenson featuring Eddie Reader	Touch Me Like The Sun
16	Oysterband	When I'm Up I Can't Get Down
17	Madder Rose	Hotel
18	Cinerama	Kerry Kerry
19	Violent Femmes	Sleepwalkin'
GRILL CD 018	2001	Delicatessen 3
01	Violent Femmes	Tonight
02	Clem Snide	I Love The Unknown
03	Ryan Adams	Come Pick Me Up
04	Frank Black & the Catholics	Robert Onion
05	AM/FM	A Best Man (Put My Girlfriend On Fire)
06	Echo and the Bunnymen	Make Me Shine (Monitor Mix)
07	The Church	See It Coming (Monitor Mix)
08	The Church	Gotta Quit That Crack
09	Luke Vibert & BJ Cole	Swing Lite Alight
10	King Cobb Steelie	Mayday (Radio Edit)
11	AC Acoustics	Luke One
12	Saint Low	Johnson City
13	Cathal Coughlan	The Ghost Of Limehouse Cut
14	Jackie Leven	Single Father
15	Billy Bragg	Sulk
16	Michael Nesmith	Rising in Love
17	Dave Graney Show	Drugs Are Wasted On the Young
GRILL CD 019	2002	Delicatessen 4
01	Grant-Lee Phillips	We All Get a Taste
02	Shelley Devoto	Can You See Me Shining?
03	Billy Bragg & The Blokes	St. Monday
04	Cracker	Forever
05	Mary Lorson & Saint Low	Oh Regret
06	The Church	Numbers
07	AC Acoustics	16 4 2010
08	Echo and the Bunnymen	The Cutter (live)
09	The Apples in Stereo	If You Don't Want to Wear a Hat
10	Obi	Ever After
11	Ron Sexsmith	Before We Ever Met
12	Clem Snide	Moment in the Sun
13	Cowboy Junkies	I'm So Open
14	Frank Black	End of Miles
15	Paul Kelly	Somewhere in the City
16	Ryan Adams	Shakedown on 9th Street
17	The Lilac Time	Jeans & Summer
18	Jackie Leven	My Spanish Dad
19	Bruce Cockburn	My Beat
GRILL CD 020	2002	Songs in the Key of Cooking Vinyl
01	Dan Bern	God Said No
02	Jackie Leven	Stopped By Woods On A Snowy Evening
03	Michael Nesmith	Twilight On The Trail
04	Andy White	Don´t Be Afraid
05	Ron Sexsmith	Tell Me Again
06	Paul Kelly	Midnight Rain
07	June Tabor	False, False
08	Bruce Cockburn	If A Tree Falls
09	Ewan MacColl	My Old Man
10	Billy Bragg	Distant Shore
11	Rev Hammer	Circular Blues
12	Bert Jansch	Toy Balloon
13	Cathal Coughlan	Officer Material
14	Chuck Prophet	Apology
15	Grant-Lee Phillips	Sleepless Lake
16	Stephen Duffy	Twenty Three
17	Mary Lorson & Saint Low	Strange Gift
18	Tom Robinson	Outro
GRILL CD 021	2003	Delicatessen 5
01	Ian McCulloch	Love In Veins
02	Eyes Adrift	Alaska (Radio Edit)
03	Gordon Gano	Hitting The Ground
04	Ryan Adams	To Be Young (Acoustic Version)
05	The Church	Seen It @ The Feelmore
06	Obi	Somewhere Nicer
07	Frank Black & the Catholics	Velvety
08	Mary Lorson & Billy Cote	See The Stars (Radio Edit)
09	Soft Cell	The Night
10	Mendoza Line	A Damn Good Disguise
11	Camper Van Beethoven	Take The Skinheads Bowling
12	Apples In Stereo	Please
13	Dan Bern	Talkin' At Kida Blues
14	Richard Thompson	One Door Opens
15	Jackie Leven	Irresistible Romance (Radio Edit)
16	French Kicks	Crying Just For Show
17	Billy Bragg & The Blokes	Distant Shore
18	Ryan Adams	Goodbye Honey
19	Minus 5	Retrieval Of You
GRILL CD 022		
GRILL CD 023	2004	Delicatessen 6
01	Seefood	Sleepover (Edit)
02	Frank Black & the Catholics	Nadine
03	The Mendoza Line	Before I Hit The Wall
04	Grant-Lee Phillips	Mona Lisa
05	Camper Van Beethoven	Might Makes Right
06	Obi	Old Rodriguez (Single Edit)
07	The Martinis	You Are The One
08	American Music Club	Ladies & Gentlemen
09	Ben Christophers	Good Day For The Hopeless
10	The Church	See Your Lights
11	North Mississippi Allstars	Stray Cat Blues
12	They Might Be Giants	Experimental Film
13	BJ Cole	Beautiful
14	The Orb	Aftermath
15	Kingsbury Manx	Pelz Komet (Edit)
16	Hayseed Dixie	Ace Of Spades
17	Janis Ian	Paris In Your Eyes
18	Anne McCue	Stupid (Edit)
19	Cowboy Junkies	Stars Of Our Stars
20	Glide	I Have Seen The Light (Edit)
21	The Wannadies	Skin
GRILL CD 024	2006	Delicatessen 7
01	Hanson	Lost Without Each Other
02	Echo and the Bunnymen	Stormy Weather (Radio Edit)
03	The Church	Space Needle
04	The Minus 5	Rifle Called Goodbye
05	The Bluetones	Serenity Now
06	Richard Thompson	Let It Blow
07	The Cowboy Junkies	Brothers Under The Bridge
08	American Music Club	Another Morning
09	Frank Black	I Burn Today
10	Jackie Leven	Blue Soul Dark Road
11	Bruce Cockburn	Fox Glove
12	Maria McKee	Season Of The Fear
13	Suzzy And Maggie Roche	I Don't Have You
14	Chris Hillman	The Wheel
15	Hayseed Dixie	Holiday
16	Michael Messer	Lucky Charms
17	Janis Ian	Danger Danger
18	North Mississippi Allstars	Teasin' Brown
19	Buzzcocks	Flat Pack Philosophy
20	Killing Joke	Implosion
21	Blondie	Hanging On The Telephone (Live)
22	Billy Bragg	Milkman Of Human Kindness
23	Mark Eitzel	Sleeping Beauty
GRILL CD 025	2007	Delicatessen 8
1	Murder By Death	Brother
2	The Bluetones	Baby Back Up
3	Hayseed Dixie	Bad Moon Rising
4	Hanson	Great Divide
5	Grant-Lee Phillips	So Much
6	Frank Black	Wave Of Mutilation
7	Lou Rhodes	Tremble
8	Centromatic	Triggers And Trash Heaps
9	Dan Bern	Feel Like A Man
10	Jackie Leven	Another Man's Rain
11	Cowboy Junkies	Still Lost
12	Maria McKee	Too Many Heroes
13	Buzzcocks	I Don't Exist
14	Killing Joke	Invocation (4.01 Edit)
15	Billy Bragg	Tank Park Salute
16	Chuck E Weiss	Goodbye, So Long
17	Richard Thompson	Oops I Did It Again
18	Janis Ian	Standing In The Shadows Of Love
19	Bruce Cockburn	Different When It Comes To You
20	Ziggy Marley	Beach In Hawaii
21	Phil Roy	Day To Day Thing
GRILL CD 026	2008	Best Of Cooking Vinyl 2008
01	Nitin Sawhiney	Days of Fire
02	The Charlatans	Oh Vanity!
03	The Vines	He's A Rocker
04	The Datsuns	Human Error
05	Less Than Jake	Abandon Ship
06	Forward Russia	Breaking Standing
07	Black Francis	The Seus
08	Centromatic	A Critical Display Of Snakes
09	Kaki King	Bone Chaos In The Castle
10	Mexican Institute Of Sound	OK!
11	Camper Van Beethoven	Take The Skinheads Bowling
12	The Presidents of the United States Of America	Mixed Up S.O.B
13	Hayseed Dixie	Bouncing Betty Boogie
14	Billy Bragg	I Keep Faith
15	Dr John	Time For A Change
16	Bauhaus	Too Much 21st Century
17	American Music Club	The Decibels And Little Pills
18	Todd Rundgren	Strike
19	Jackie Leven	Fareham Confidential
